1,1,1,1,2,3,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,6,7,9,9,9,10,10,10,11,13,13,13,13,13,13,13,13,13,13,14,14,14,16,16,19,19,19,19,19,19,19,19,19,19,19,21,24,24,25,25,25,26,27,33,34,34,34,34,34,34,35,35,38,38,38,38,38,38,38,38,38,38,38,38,38,38,39,39,41,41,41,41,41,42,43,43,44,45,48,49,50,50,50,50,50,50,50,50,50,51,52,53,56,58,58,58,58,59
0,0,2,2,2,2,2,2,3,4,8,8,8,8,8,8,8,8,9,11,11,11,11,11,12,12,12,12,13,13,14,14,15,15,15,15,15,15,15,15,15,15,17,18,18,21,21,21,21,22,24,27,27,27,27,27,27,27,27,27,28,28,28,28,28,28,28,28,28,28,29,32,34,34,34,35,36,36,37,38,39,44,45,45,46,46,46,46,46,46,46,46,46,46,46,47,47,47,47,48,50,51,52,52,52,52,53,54,58,59,59,59,59,59,59,59,59,59,59
1,3,5,5,5,6,7,7,9,9,9,9,10,10,11,12,12,12,12,12,12,13,15,15,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,20,20,20,20,20,20,20,20,22,22,26,26,26,26,27,27,28,28,29,29,29,29,29,29,29,31,32,32,32,32,32,32,32,32,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,34,36,36,37,37,37,37,38,38,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,5,5,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11,12,14,19,19,21,22,22,22,22,22,23,23,23,23,23,23,24,25,29,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,35,35,35,35,35,35,35,36,36,36,36,36,36,36,36,36,36,37,37,40,40,40,40,41,41,41,42,42,43,44,44,44,46,48,50,50,50
2,6,11,11,15,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,18,18,18,18,18,18,18,18,19,19,22,22,22,22,22,22,22,22,22,22,22,22,23,23,28,31,31,32,32,32,32,34,34,34,36,37,38,40,40,40,40,40,40,41,45,46,46,47,47,50,50,51,52,54,55,55,57,58,58,58,59,59,59,59,60,60,61,61,61,61,61,61,61,61,62,62,62,64,67,69,71,71,71,72,73,75,75,75,75,75,76,76,77,78,81,81,81
1,1,3,3,4,4,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,8,9,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,14,15,18,18,20,20,20,20,20,20,21,21,21,21,22,22,23,23,23,24,24,24,24,24,24,24,24,24,24,24,24,25,26,29,30,30,32,35,38,41,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,45,45,46,48,52,52,52
0,0,1,1,1,1,2,3,3,3,3,3,3,3,4,6,8,8,8,8,8,8,9,9,10,10,10,10,10,11,12,12,14,14,15,15,16,19,19,20,20,21,21,21,21,23,27,27,28,29,29,29,29,29,29,29,29,29,30,30,30,30,30,30,30,31,34,37,37,38,39,43,44,47,47,47,47,47,47,47,47,47,48,48,48,48,48,48,48,48,48,48,48,48,49,49,49,49,49,50,50,52,52,52,52,52,52,53,53,53,53,53,53,54,54,55,55,55,55
0,0,1,1,1,1,1,1,1,1,2,2,2,2,3,4,5,5,5,7,8,8,11,11,11,11,11,12,13,14,15,16,16,16,16,16,16,17,18,20,20,21,21,22,22,22,22,23,24,24,24,25,25,26,26,26,26,27,28,28,28,28,28,29,32,33,33,33,33,33,33,33,33,33,34,35,36,36,36,36,36,36,36,36,36,36,37,39,42,42,42,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,44,44,44,44,44,44,44
0,0,1,3,13,13,14,15,16,18,18,18,18,18,18,19,19,19,19,19,20,20,21,22,24,26,26,26,26,26,26,26,26,26,26,26,27,27,28,29,30,30,30,30,30,30,30,30,30,31,31,31,32,34,34,34,34,34,36,37,37,38,38,39,39,39,40,40,40,41,41,41,41,41,41,41,41,41,42,44,45,45,45,46,46,46,46,46,46,46,48,48,49,49,49,50,50,50,50,51,51,51,51,51,51,51,51,51,51,51,51,51,52,54,54,54,54,54,55
0,0,0,0,0,1,3,3,11,11,13,14,14,14,14,14,16,17,19,20,21,21,24,24,24,25,25,25,25,25,25,26,29,29,30,30,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,33,33,35,35,35,35,35,35,35,35,35,36,36,42,46,48,48,48,48,49,50,53,53,53,54,54,54,54,54,54,55,55,55,55,55,57,58,59,59,59,59,60,62,62,62,62,62,62,62,62,62,62,63,63,63,64,65,66,67,68,68,69,69,73,77,79,79,79
1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,5,5,6,6,7,7,10,12,16,16,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,20,20,20,21,21,26,26,26,27,27,30,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,34,34,35,35,35,35,36,37,45,45,45,45,45,45,46,46,46,46,47,47,47,47,47,47,48
0,0,1,1,2,3,3,3,3,3,4,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,11,11,11,11,12,15,15,15,15,15,15,16,19,19,19,19,19,20,25,27,27,27,27,29,29,31,32,32,32,32,32,32,32,33,33,35,36,36,36,37,37,38,38,38,38,39,39,40,43,45,45,47,47,47,48,49,51,51,51,51,51,51,51,51,51,51,51,51,51,52,52,52,52,52,52,52,53,54,54,55,56,59,59,59,59,60,60
0,0,0,1,3,3,3,3,4,7,8,9,9,9,9,11,12,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,16,18,19,19,19,19,20,20,21,22,23,26,26,26,27,29,30,30,30,30,30,30,31,33,33,33,33,33,34,34,35,35,35,35,37,39,43,43,43,44,44,44,45,45,45,45,45,45,46,46,48,48,49,50,50,50,50,50,50,50,50,50,51,51,53,57,57,58,58,58,58,58,58,59,59,59,59,59,60,61,62,62,62,62
0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,10,12,17,19,19,20,21,22,23,23,23,23,24,25,27,34,35,38,38,38,38,38,38,38,38,39,39,39,39,39,39,39,39,39,39,40,40,41,41,41,41,41,41,41,41,42,42,42,42,42,43,43,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,45,45,46,46,46,47,47,50,52,54,56,60,65,65,65,65,65,65,65,65,65,66,66,66,66,66,68,70,70
0,1,1,4,5,5,5,5,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,12,12,15,15,15,15,16,16,16,16,17,19,22,22,22,23,26,29,29,29,30,31,31,31,32,34,37,37,38,38,39,39,39,39,39,40,40,41,41,43,45,46,47,47,48,49,50,51,51,52,52,52,52,52,52,52,52,53,55,58,58,59,59,59,59,59,60,61,61,62,62,63,65,66,68,69,69,70
